five_minute_window,latency,status,method,endpoint
1402883100,3,302,GET,Recent
1402883100,230,200,GET,Recent
1402883700,204,200,GET,Recent
1402883700,4,302,GET,Recent
1402884000,2,302,GET,Recent
1402884000,226,200,GET,Recent
1402884300,330,200,GET,Recent
1402884300,2,302,GET,Recent
1402884600,193,200,GET,Recent
1402884600,2,302,GET,Recent
1402884900,368,200,GET,Recent
1402885200,350,200,GET,Recent
1402885500,379,200,GET,Recent
1402886100,290,200,GET,Recent
1402886400,2,302,GET,Recent
1402886400,345,200,GET,Recent
1402886700,348,200,GET,Recent
1402887000,310,200,GET,Recent
1402887300,278,200,GET,Recent
1402887300,2,302,GET,Recent
1402887600,411,200,GET,Recent
1402887600,3,302,GET,Recent
1402887900,399,200,GET,Recent
1402888200,302,200,GET,Recent
1402888200,2,302,GET,Recent
1402888500,313,200,GET,Recent
1402888500,22,302,GET,Recent
1402888800,225,200,GET,Recent
1402889100,2,302,GET,Recent
1402889100,272,200,GET,Recent
1402889400,343,200,GET,Recent
1402889400,2,302,GET,Recent
1402889700,386,200,GET,Recent
1402890000,149,302,GET,Recent
1402890000,347,200,GET,Recent
1402890300,149,302,GET,Recent
1402890300,396,200,GET,Recent
1402890900,376,200,GET,Recent
1402891200,320,200,GET,Recent
1402891500,4,302,GET,Recent
1402891500,273,200,GET,Recent
1402891800,270,200,GET,Recent
1402892100,265,200,GET,Recent
1402892400,250,200,GET,Recent
1402892700,22,302,GET,Recent
1402892700,241,200,GET,Recent
1402893000,327,200,GET,Recent
1402893600,197,200,GET,Recent
1402893900,330,200,GET,Recent
1402894200,259,200,GET,Recent
1402894500,201,200,GET,Recent
1402894500,21,302,GET,Recent
1402894800,383,200,GET,Recent
1402895100,337,200,GET,Recent
1402895400,186,200,GET,Recent
1402895700,341,200,GET,Recent
1402896000,391,200,GET,Recent
1402896300,189,200,GET,Recent
1402896600,220,200,GET,Recent
1402896600,21,302,GET,Recent
1402896900,114,302,GET,Recent
1402896900,323,200,GET,Recent
1402897500,394,200,GET,Recent
1402897500,31,302,GET,Recent
1402897800,268,200,GET,Recent
1402898100,252,200,GET,Recent
1402898400,376,200,GET,Recent
1402898700,385,200,GET,Recent
1402898700,22,302,GET,Recent
1402899000,207,200,GET,Recent
1402899300,344,200,GET,Recent
1402899600,347,200,GET,Recent
1402899900,113,302,GET,Recent
1402899900,423,200,GET,Recent
1402900200,250,200,GET,Recent
1402900500,269,200,GET,Recent
1402900800,22,302,GET,Recent
1402900800,84,200,GET,Recent
1402901100,353,200,GET,Recent
1402901100,22,302,GET,Recent
1402901400,247,200,GET,Recent
1402901700,622,200,GET,Recent
1402901700,117,302,GET,Recent
